chainId,route,profile,amountIn,grossOutput,commission,commissionBps,netOutput,gasUnits,minimumReceived,priceImpactBps,liquidityUsd,hopCount,qualityStatus,warnings,selectedProvider,wrapper,feeTier,quotedAt
"1","WETH→UNI","small","0.001","0.517426415028552214","0.001034852830057104","20","0.51639156219849511","84919","0.513809604387502635","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→UNI","normal","0.01","5.174181304501044534","0.010348362609002089","20","5.163832941892042445","84919","5.138013777182582233","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→UNI","large","0.1","51.73352992542863717","0.103467059850857274","20","51.630062865577779896","91628","51.371912551249890997","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","UNI→WETH","small","1","0.001930699729742673","0.000003861399459485","20","0.001926838330283188","80374","0.001917204138631773","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","UNI→WETH","normal","5","0.009653365952743071","0.000019306731905486","20","0.009634059220837585","87055","0.009585888924733398","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","UNI→WETH","large","25","0.048263512638042825","0.000096527025276085","20","0.04816698561276674","86129","0.047926150684702907","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→AAVE","small","0.001","0.021127899039298544","0.000042255798078597","20","0.021085643241219947","88197","0.020980215025013848","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→AAVE","normal","0.01","0.211276991338084869","0.000422553982676169","20","0.2108544373554087","88197","0.209800165168631657","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→AAVE","large","0.1","2.112628839975064094","0.004225257679950128","20","2.108403582295113966","97820","2.097861564383638397","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","3000","2026-07-21T00:42:00.720Z"
"1","AAVE→WETH","small","0.05","0.002364164826947297","0.000004728329653894","20","0.002359436497293403","85849","0.002347639314806936","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","AAVE→WETH","normal","0.25","0.011820706555984598","0.000023641413111969","20","0.011797065142872629","85849","0.011738079817158266","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","AAVE→WETH","large","1","0.047281062625985696","0.000094562125251971","20","0.047186500500733725","93474","0.046950567998230057","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LDO","small","0.001","4.931774701989948429","0.009863549403979896","20","4.921911152585968533","172832","4.897301596823038691","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LDO","normal","0.01","49.308830216751878362","0.098617660433503756","20","49.210212556318374606","179489","48.964161493536782733","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LDO","large","0.1","492.198392056708781727","0.984396784113417563","20","491.213995272595364164","179489","488.757925296232387344","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LDO→WETH","small","5","0.001012779271271017","0.000002025558542542","20","0.001010753712728475","91979","0.001005699944164833","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LDO→WETH","normal","25","0.005063483981540258","0.00001012696796308","20","0.005053357013577178","92019","0.005028090228509293","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LDO→WETH","large","100","0.020247752695886552","0.000040495505391773","20","0.020207257190494779","92019","0.020106220904542306","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→CRV","small","0.001","8.818660842576685304","0.01763732168515337","20","8.801023520891531934","79841","8.757018403287074275","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","3000","2026-07-21T00:42:00.720Z"
"1","WETH→CRV","normal","0.01","88.185261961155510172","0.17637052392231102","20","88.008891437233199152","80143","87.568846980047033157","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","3000","2026-07-21T00:42:00.720Z"
